step_count,min_error,q1_error,median_error,q3_error,max_error,rmse
100,7.471732,7.618807,7.649099,7.730611,7.764541,7.655962
101,7.550456,7.697845,7.730235,7.809835,7.841215,7.736263
102,7.632767,7.778335,7.813730,7.890688,7.919659,7.817178
103,7.713437,7.855349,7.895519,7.972176,7.999118,7.897385
104,7.794859,7.934995,7.974397,8.053204,8.080264,7.977840
105,7.861774,7.999882,8.039976,8.120178,8.148677,8.044919
106,7.945137,8.083007,8.121163,8.203453,8.232257,8.125718
107,8.025418,8.165775,8.202282,8.283690,8.313126,8.207022
108,8.094917,8.233466,8.270626,8.352776,8.381206,8.275372
109,8.177384,8.315111,8.353846,8.434345,8.463614,8.357368
110,8.263577,8.396473,8.435546,8.515758,8.543361,8.439065
111,8.343514,8.477052,8.517062,8.596179,8.623768,8.520219
112,8.424786,8.560485,8.595097,8.675498,8.706377,8.600927
113,8.495723,8.628881,8.661742,8.740690,8.774515,8.668353
114,8.577770,8.708779,8.743439,8.823565,8.853405,8.749390
115,8.660121,8.791547,8.825201,8.905448,8.934600,8.831193
116,8.746125,8.872585,8.905353,8.986279,9.018484,8.912617
117,8.826686,8.952598,8.985608,9.067963,9.098161,8.992791
118,8.894691,9.019933,9.053970,9.132687,9.164410,9.059777
119,8.972821,9.102950,9.134283,9.214061,9.246347,9.140488
120,9.055340,9.183631,9.215202,9.295655,9.326430,9.220650
121,9.125753,9.249213,9.278345,9.360789,9.394186,9.286780
122,9.206467,9.329113,9.358189,9.438536,9.474947,9.366229
123,9.285885,9.405980,9.439035,9.516159,9.554576,9.445783
124,9.367947,9.481667,9.515120,9.596354,9.631940,9.523623
125,9.447111,9.558775,9.594039,9.674815,9.709114,9.601691
126,9.509351,9.622673,9.656820,9.739900,9.776459,9.665821
127,9.587081,9.699412,9.734083,9.817068,9.854950,9.742923
128,9.660008,9.777702,9.808983,9.896034,9.932857,9.819272
129,9.737709,9.850108,9.883100,9.970005,10.010682,9.894161
130,9.812676,9.925513,9.957398,10.043405,10.085618,9.968196
131,9.871354,9.987468,10.019165,10.105578,10.144723,10.029618
132,9.943738,10.061749,10.088352,10.179286,10.218669,10.102011
133,10.019674,10.134257,10.161785,10.251839,10.289242,10.174709
134,10.078441,10.191859,10.223875,10.308815,10.346787,10.233742
135,10.147648,10.261185,10.295830,10.379906,10.416076,10.303847
136,10.210867,10.329884,10.364243,10.446890,10.490709,10.372308
137,10.276289,10.396688,10.430364,10.513451,10.559420,10.439476
138,10.328689,10.452367,10.482802,10.567450,10.610705,10.494249
139,10.391393,10.518373,10.546379,10.632194,10.673383,10.558374
140,10.445997,10.573238,10.599024,10.686384,10.727399,10.611451
141,10.492537,10.626096,10.651047,10.736679,10.778824,10.664202
142,10.555236,10.684738,10.714067,10.796757,10.838259,10.724730
143,10.603183,10.730649,10.765492,10.847978,10.889193,10.774072
144,10.662161,10.791161,10.823856,10.905279,10.947195,10.831874
145,10.719315,10.844728,10.878856,10.961710,11.005728,10.887733
146,10.762848,10.888704,10.922836,11.007848,11.053539,10.932320
147,10.816449,10.940703,10.974774,11.058173,11.108462,10.984201
148,10.867042,10.990099,11.025166,11.108570,11.155390,11.034038
149,10.904298,11.029269,11.064844,11.148010,11.199966,11.073732
150,10.944195,11.065731,11.101934,11.185389,11.235753,11.111709
151,10.988847,11.110183,11.149073,11.230376,11.278753,11.156118
152,11.024922,11.148275,11.184678,11.264084,11.308052,11.191073
153,11.062460,11.187147,11.225689,11.304528,11.354984,11.231191
154,11.100372,11.225045,11.262568,11.344223,11.393240,11.268797
155,11.128904,11.253761,11.295576,11.374607,11.420385,11.298222
156,11.161628,11.287933,11.329873,11.409397,11.458097,11.332700
157,11.193176,11.320638,11.363674,11.442315,11.488582,11.364327
158,11.213680,11.344478,11.389544,11.464239,11.513347,11.387918
159,11.236362,11.368695,11.413918,11.486759,11.540504,11.411311
160,11.254955,11.394547,11.440062,11.510036,11.568395,11.436263
161,11.272376,11.411887,11.458528,11.525663,11.588344,11.454038
162,11.291143,11.432021,11.481222,11.546483,11.612808,11.475076
163,11.308498,11.447029,11.500227,11.563206,11.631065,11.492564
164,11.319269,11.461968,11.513757,11.577059,11.646298,11.505678
165,11.327964,11.476496,11.530086,11.589755,11.661698,11.519345
166,11.335013,11.486947,11.541702,11.599497,11.673703,11.530047
167,11.342242,11.493708,11.545715,11.608317,11.680142,11.537177
168,11.345003,11.498592,11.548896,11.611617,11.685331,11.541654
169,11.348312,11.501511,11.553948,11.614823,11.690242,11.546239
170,11.348747,11.502401,11.553684,11.616320,11.694861,11.547240
171,11.349901,11.502844,11.553018,11.617091,11.697331,11.547135
172,11.346089,11.500231,11.551643,11.613547,11.694845,11.544629
173,11.340008,11.495136,11.549703,11.608269,11.689441,11.539932
174,11.333318,11.489115,11.538897,11.601037,11.680938,11.532565
175,11.323838,11.478300,11.530418,11.592013,11.670214,11.523399
176,11.316553,11.468668,11.521744,11.582475,11.659015,11.514209
177,11.305879,11.455501,11.512090,11.571380,11.649829,11.503528
178,11.286902,11.441912,11.495247,11.556010,11.636852,11.488198
179,11.275123,11.423659,11.479097,11.540739,11.621111,11.472959
180,11.255019,11.402692,11.457187,11.519296,11.600628,11.453171
181,11.236354,11.381158,11.435449,11.497094,11.578906,11.431340
182,11.216282,11.360185,11.417680,11.477468,11.560450,11.410653
183,11.190950,11.334873,11.392075,11.449601,11.537485,11.384788
184,11.165569,11.305187,11.365465,11.422039,11.511824,11.356711
185,11.141734,11.280339,11.339189,11.394919,11.489282,11.332112
186,11.114311,11.253004,11.310461,11.368561,11.461004,11.305449
187,11.078134,11.220124,11.279939,11.335271,11.423424,11.272186
188,11.047933,11.190822,11.251834,11.303772,11.398497,11.242841
189,11.014746,11.152572,11.215578,11.267591,11.366270,11.206813
190,10.979761,11.116004,11.180527,11.229169,11.322708,11.169266
191,10.946939,11.082010,11.144504,11.198240,11.293697,11.136259
192,10.909165,11.039696,11.105297,11.156177,11.255949,11.095081
193,10.867893,10.995141,11.062658,11.112887,11.211549,11.051517
194,10.833073,10.956440,11.025606,11.075790,11.176056,11.014603
195,10.798019,10.917718,10.989395,11.036905,11.137496,10.977464
196,10.753499,10.872374,10.945108,10.990029,11.092230,10.931115
197,10.715528,10.834208,10.906624,10.949275,11.051075,10.891264
198,10.669234,10.780911,10.856652,10.901355,11.003665,10.841560
199,10.622078,10.728987,10.809273,10.853303,10.951786,10.792622
200,10.580173,10.684724,10.764564,10.809807,10.907125,10.749556
201,10.531530,10.634394,10.714202,10.759246,10.855345,10.697717
202,10.475347,10.580267,10.656606,10.703603,10.798897,10.643392
203,10.431996,10.533158,10.611870,10.657661,10.753791,10.598007
204,10.381735,10.486563,10.563981,10.612893,10.708367,10.551197
205,10.324172,10.430924,10.505070,10.557353,10.650440,10.494124
206,10.276448,10.382086,10.456330,10.506963,10.600860,10.444873
207,10.218256,10.320737,10.400411,10.450981,10.542724,10.386995
208,10.155970,10.259901,10.341733,10.389328,10.483180,10.327790
209,10.104445,10.206752,10.291061,10.339382,10.428017,10.277407
210,10.041787,10.147201,10.230871,10.279373,10.364404,10.216495
211,9.983087,10.083547,10.166619,10.219170,10.302252,10.154612
212,9.934324,10.031416,10.114406,10.165460,10.250372,10.102608
213,9.881729,9.980914,10.062998,10.114682,10.203061,10.050903
214,9.818611,9.917003,10.001452,10.049027,10.139764,9.987545
215,9.769600,9.866503,9.945267,9.993457,10.087566,9.933671
216,9.703186,9.802846,9.883161,9.928707,10.022909,9.869856
217,9.641866,9.736016,9.817619,9.865933,9.961686,9.805368
218,9.588296,9.679648,9.766157,9.809343,9.903920,9.750156
219,9.520324,9.611899,9.700560,9.744036,9.840020,9.683619
220,9.450405,9.546848,9.632672,9.676970,9.771487,9.617494
221,9.396157,9.489507,9.576130,9.623798,9.717383,9.562355
222,9.339106,9.435233,9.520918,9.567180,9.659577,9.506287
223,9.273831,9.368680,9.452693,9.498803,9.588885,9.439478
224,9.216828,9.311909,9.394801,9.444112,9.535567,9.383080
225,9.149819,9.243963,9.325278,9.377694,9.468800,9.315545
226,9.081448,9.175739,9.257512,9.309142,9.399933,9.248043
227,9.025489,9.121055,9.202147,9.252942,9.342895,9.191731
228,8.956207,9.052334,9.134518,9.182445,9.272651,9.122778
229,8.883465,8.985739,9.066506,9.112798,9.202749,9.053916
230,8.828410,8.925980,9.007788,9.051577,9.145648,8.995021
231,8.770052,8.870342,8.949575,8.992220,9.088469,8.937048
232,8.701734,8.800731,8.881137,8.922338,9.020038,8.867925
233,8.642827,8.744558,8.823425,8.865476,8.962275,8.810354
234,8.573230,8.673517,8.754156,8.794574,8.891801,8.739634
