step_count,min_error,q1_error,median_error,q3_error,max_error,rmse
100,0.475929,0.994424,1.129931,1.278048,1.625469,1.144970
101,0.462731,0.984655,1.111641,1.271189,1.627500,1.145585
102,0.493477,1.010552,1.125171,1.272542,1.593393,1.153429
103,0.538525,1.012096,1.151927,1.281704,1.604557,1.164170
104,0.537772,1.034000,1.163446,1.320428,1.557004,1.177650
105,0.553175,1.058358,1.177563,1.360589,1.605264,1.207612
106,0.574087,1.091971,1.221983,1.353208,1.582242,1.226483
107,0.608163,1.125003,1.255854,1.361039,1.599563,1.248329
108,0.497023,1.117854,1.275892,1.403601,1.592588,1.261227
109,0.486676,1.159777,1.291997,1.415595,1.610442,1.279276
110,0.478398,1.197125,1.307839,1.431633,1.595055,1.295229
111,0.498797,1.177245,1.303628,1.451054,1.635849,1.307234
112,0.524039,1.203839,1.300619,1.483550,1.646011,1.322282
113,0.541634,1.220530,1.292518,1.490376,1.657761,1.333028
114,0.579613,1.240145,1.319543,1.525799,1.687810,1.358670
115,0.632837,1.259613,1.359101,1.514596,1.711925,1.378746
116,0.649656,1.279419,1.350397,1.528160,1.752999,1.394624
117,0.657083,1.308882,1.373267,1.539322,1.770917,1.419552
118,0.677426,1.334035,1.388712,1.552266,1.773425,1.441407
119,0.721331,1.328711,1.445066,1.560571,1.802031,1.458294
120,0.779113,1.344516,1.460292,1.582635,1.834249,1.473661
121,0.863321,1.391068,1.462483,1.619251,1.801948,1.493513
122,0.898166,1.388245,1.496479,1.636879,1.800158,1.514679
123,0.913126,1.441235,1.539628,1.668298,1.822805,1.535236
124,0.933526,1.459346,1.564060,1.671859,1.860812,1.556722
125,0.993994,1.488194,1.586925,1.708457,1.911863,1.589614
126,1.041122,1.486017,1.606649,1.733173,1.949321,1.608438
127,1.119894,1.501646,1.620506,1.723917,1.886888,1.623057
128,1.158741,1.520793,1.625359,1.695610,1.886652,1.626951
129,1.135991,1.524708,1.634897,1.745092,1.882709,1.638975
130,1.186859,1.540174,1.654631,1.778850,1.911117,1.654276
131,1.145157,1.545722,1.665450,1.815377,1.936221,1.669448
132,1.190648,1.568288,1.675065,1.830560,1.949636,1.687090
133,1.372687,1.587687,1.670506,1.839400,1.967282,1.695657
134,1.403244,1.592529,1.657544,1.866927,2.007268,1.705415
135,1.467966,1.610149,1.673147,1.845911,2.055098,1.731748
136,1.470210,1.594139,1.668887,1.861555,2.093209,1.743334
137,1.482527,1.617105,1.671816,1.883772,2.114217,1.755445
138,1.504916,1.627247,1.671899,1.907047,2.131777,1.759994
139,1.508413,1.626245,1.670915,1.916235,2.196003,1.771732
140,1.411064,1.606848,1.670686,1.939097,2.263524,1.773330
141,1.365597,1.624620,1.670654,1.962617,2.314480,1.778512
142,1.330965,1.631260,1.672897,1.978730,2.315977,1.780950
143,1.348343,1.622493,1.672012,2.007399,2.281628,1.786951
144,1.359946,1.609326,1.675383,2.024135,2.299835,1.789878
145,1.374443,1.597733,1.680540,2.037157,2.309597,1.797625
146,1.387585,1.609383,1.642412,2.030726,2.311548,1.796700
147,1.396971,1.612471,1.656637,2.037181,2.327896,1.802228
148,1.421743,1.619607,1.649363,2.019390,2.361534,1.816512
149,1.525190,1.590105,1.674060,2.016739,2.403558,1.828294
150,1.543111,1.613702,1.679406,1.995378,2.472897,1.840368
151,1.567391,1.610516,1.691300,2.000579,2.468694,1.851846
152,1.534872,1.626627,1.690356,2.001227,2.457542,1.854556
153,1.564660,1.632866,1.695707,1.977370,2.544610,1.858270
154,1.586124,1.643761,1.695043,1.969169,2.596100,1.864886
155,1.599881,1.654705,1.709151,1.971418,2.601621,1.867226
156,1.606391,1.665819,1.716229,1.963458,2.533084,1.866199
157,1.502883,1.664046,1.719408,1.984058,2.638248,1.873547
158,1.507718,1.647890,1.723418,2.008550,2.669425,1.873084
159,1.525398,1.661754,1.724276,2.000394,2.528782,1.867542
160,1.525682,1.664883,1.727356,1.995731,2.504855,1.858445
161,1.593175,1.666456,1.726219,1.981981,2.510474,1.854607
162,1.593694,1.666815,1.712204,1.923759,2.509864,1.837516
163,1.573574,1.664815,1.697932,1.928805,2.503073,1.828849
164,1.553136,1.645852,1.694223,1.930131,2.502038,1.817946
165,1.536592,1.624484,1.676054,1.908565,2.458008,1.803927
166,1.519954,1.598466,1.686822,1.902116,2.411186,1.785349
167,1.511108,1.601699,1.687480,1.885356,2.363719,1.773821
168,1.503460,1.603193,1.681028,1.903622,2.328740,1.763869
169,1.484970,1.588007,1.667724,1.889148,2.288980,1.744440
170,1.442789,1.534518,1.670306,1.852796,2.284981,1.721607
171,1.393599,1.508037,1.626183,1.832994,2.269660,1.685122
172,1.312830,1.462165,1.593960,1.816094,2.248675,1.653724
173,1.297853,1.441336,1.583408,1.778593,2.226425,1.623482
174,1.298514,1.430562,1.555959,1.722267,2.253536,1.606036
175,1.265259,1.450112,1.557721,1.682959,2.231793,1.588078
176,1.114124,1.337493,1.522817,1.663051,2.223920,1.548365
177,1.089908,1.358306,1.457002,1.632049,2.200496,1.523156
178,1.075351,1.309479,1.519307,1.624307,2.175404,1.514141
179,1.090517,1.276615,1.479384,1.611551,2.155347,1.485683
180,1.101690,1.263791,1.463423,1.594727,2.139342,1.478539
181,1.095071,1.236647,1.441581,1.605975,2.151013,1.468688
182,1.097043,1.176738,1.384301,1.574100,2.073010,1.435824
183,1.031832,1.177600,1.381356,1.543320,1.989705,1.404615
184,1.024322,1.136752,1.344336,1.499136,1.965042,1.378679
185,0.996500,1.108502,1.327373,1.485863,1.919363,1.351578
186,0.944389,1.105017,1.311067,1.452131,1.880410,1.327886
187,0.951972,1.059055,1.302536,1.425272,1.831451,1.304136
188,0.907232,1.059552,1.282214,1.378573,1.763970,1.270312
189,0.811079,1.055351,1.247781,1.340877,1.711475,1.228217
190,0.872240,0.997429,1.225625,1.331227,1.677606,1.204421
191,0.833030,0.984344,1.166407,1.299370,1.600774,1.174266
192,0.854154,1.021060,1.112736,1.249609,1.591302,1.150707
193,0.793217,0.993870,1.107509,1.220689,1.542497,1.124296
194,0.726384,0.956872,1.110577,1.195147,1.492853,1.094616
195,0.752567,0.944768,1.046806,1.162360,1.465818,1.064642
196,0.707575,0.927300,0.999926,1.109528,1.455596,1.027401
197,0.725148,0.911060,0.975389,1.090174,1.409708,1.000525
198,0.647168,0.884261,0.966030,1.033579,1.315959,0.977299
199,0.671637,0.859707,0.927370,1.012520,1.247897,0.940809
200,0.686634,0.840414,0.915283,0.981442,1.205378,0.925660
201,0.654816,0.828780,0.894893,0.974774,1.162152,0.909480
202,0.620953,0.795851,0.887286,0.933194,1.115545,0.882464
203,0.680919,0.735715,0.852582,0.924558,1.050452,0.851723
204,0.645432,0.743721,0.847940,0.899899,1.018077,0.831566
205,0.564949,0.759751,0.802810,0.907724,1.029527,0.825116
