step_count,min_error,q1_error,median_error,q3_error,max_error,rmse
100,0.424638,0.794245,0.977478,1.089996,4.373272,1.355580
101,0.371479,0.761276,0.969992,1.069080,4.378459,1.350027
102,0.385192,0.770608,0.954410,1.070954,4.365833,1.349720
103,0.354105,0.755779,0.967484,1.076296,4.363020,1.351343
104,0.352447,0.777822,0.989785,1.094002,4.363344,1.358546
105,0.368439,0.792876,0.970316,1.107166,4.371089,1.357969
106,0.312224,0.766768,0.985791,1.127334,4.371897,1.362251
107,0.324263,0.779311,0.994689,1.133821,4.378979,1.367676
108,0.319535,0.753127,0.976270,1.136279,4.397469,1.368854
109,0.305612,0.758192,0.971985,1.133325,4.402529,1.371563
110,0.290045,0.778653,0.980443,1.163237,4.395085,1.380669
111,0.307801,0.791333,0.993493,1.185375,4.377069,1.383511
112,0.324814,0.785138,0.988853,1.210918,4.360375,1.386334
113,0.337413,0.830179,0.999017,1.212612,4.378806,1.398239
114,0.312740,0.827087,1.006894,1.216019,4.353756,1.396178
115,0.293009,0.763596,1.019031,1.248473,4.369720,1.401433
116,0.301733,0.788315,1.035515,1.251011,4.351040,1.399158
117,0.221808,0.798926,1.035068,1.257806,4.294726,1.397484
118,0.198258,0.820266,1.035768,1.264483,4.274211,1.400275
119,0.185530,0.826816,1.060570,1.282149,4.287469,1.409402
120,0.194257,0.855366,1.077058,1.271393,4.273325,1.413729
121,0.193311,0.836271,1.052538,1.285155,4.283795,1.414632
122,0.174387,0.857637,1.074670,1.285456,4.281242,1.412236
123,0.195161,0.875599,1.085746,1.274363,4.288925,1.421581
124,0.188353,0.884257,1.100949,1.274015,4.272859,1.417685
125,0.173094,0.900334,1.136015,1.276665,4.290591,1.426868
126,0.175461,0.917336,1.140260,1.254544,4.288030,1.429770
127,0.153227,0.914522,1.155298,1.283411,4.303412,1.439475
128,0.204425,0.929257,1.150117,1.288140,4.304635,1.448939
129,0.168377,0.912069,1.178597,1.286399,4.295847,1.450604
130,0.182051,0.918279,1.215978,1.313683,4.277435,1.456718
131,0.232937,0.943206,1.220909,1.338648,4.276941,1.459975
132,0.168987,0.961888,1.221345,1.366843,4.263322,1.469429
133,0.187809,0.997241,1.216946,1.369689,4.252605,1.473251
134,0.170164,1.020983,1.216721,1.387724,4.252152,1.482481
135,0.212555,1.035463,1.240512,1.378592,4.264200,1.497477
136,0.231558,1.061508,1.250763,1.384517,4.238144,1.499737
137,0.307742,1.106368,1.265393,1.401596,4.242504,1.516831
138,0.264106,1.141331,1.305883,1.423503,4.214692,1.519163
139,0.252896,1.129298,1.319304,1.437610,4.233433,1.529954
140,0.272053,1.156287,1.325091,1.422602,4.240645,1.531692
141,0.301532,1.133655,1.327577,1.428268,4.233911,1.535805
142,0.278593,1.149979,1.353880,1.465273,4.203555,1.546458
143,0.259819,1.190056,1.345226,1.494278,4.219330,1.554660
144,0.259394,1.189087,1.353392,1.520777,4.185379,1.559330
145,0.265644,1.203817,1.356652,1.524452,4.184484,1.558877
146,0.261266,1.215683,1.340309,1.498576,4.188123,1.562266
147,0.296970,1.208468,1.373046,1.516390,4.183875,1.566729
148,0.303086,1.213465,1.378173,1.528532,4.154266,1.570410
149,0.304119,1.235812,1.376836,1.541733,4.133668,1.570356
150,0.313354,1.250016,1.377128,1.558202,4.117925,1.584185
151,0.354463,1.253290,1.374721,1.548405,4.120696,1.592026
152,0.330600,1.263293,1.384324,1.579192,4.114582,1.598824
153,0.382663,1.248858,1.387016,1.582652,4.107714,1.594103
154,0.382831,1.238864,1.407446,1.563227,4.083846,1.591946
